Item,Description,Proper,Vender Desc,UM,UL,Crew,Output,Material,Labor,Equipment,Total
01-21-00-10-1640,"Allowances, profit, $100,000 project, maximum",               Maximum,"Profit, $100,000 project, maximum",PCT,,,,,,,20.00%
01-21-00-10-1660,"            $500,000 project","            $500,000 project",,,,,,,,,
01-21-00-10-1680,"Allowances, profit, $500,000 project, minimum",               Minimum,"Profit, $500,000 project, minimum",PCT,,,,,,,5.00%
01-21-00-10-1700,"Allowances, profit, $500,000 project, average",               Average,"Profit, $500,000 project, average",PCT,,,,,,,10.00%
01-21-00-10-1720,"Allowances, profit, $500,000 project, maximum",               Maximum,"Profit, $500,000 project, maximum",PCT,,,,,,,15.00%
01-21-00-10-1740,"            $1,000,000 project","            $1,000,000 project",,,,,,,,,
01-21-00-10-1760,"Allowances, profit, $1,000,000 project, minimum",               Minimum,"Profit, $1,000,000 project, minimum",PCT,,,,,,,3.00%
01-21-00-10-1780,"Allowances, profit, $1,000,000 project, average",               Average,"Profit, $1,000,000 project, average",PCT,,,,,,,8.00%
01-21-00-10-1800,"Allowances, profit, $1,000,000 project, maximum",               Maximum,"Profit, $1,000,000 project, maximum",PCT,,,,,,,15.00%
01-21-00-10-2000,Professional fees,      Professional fees,,,,,,,,,
01-21-00-10-2100,Architectural,         Architectural,,,,,,,,,
01-21-00-10-2120,"$100,000 project","            $100,000 project",,,,,,,,,
01-21-00-10-2140,"Allowances, professional fees, architectural, $100,000 project, minimum",               Minimum,"Architectural fee, $100,000, minimum",PCT,,,,,,,5.00%
01-21-00-10-2160,"Allowances, professional fees, architectural, $100,000 project, average",               Average,"Architectural fee, $100,000, average",PCT,,,,,,,10.00%
01-21-00-10-2180,"Allowances, professional fees, architectural, $100,000 project, maximum",               Maximum,"Architectural fee, $100,000, maximum",PCT,,,,,,,20.00%
01-21-00-10-2200,"            $500,000 project","            $500,000 project",,,,,,,,,
01-21-00-10-2220,"Allowances, professional fees, architectural, $500,000 project, minimum",               Minimum,"Architectural fee, $500,000 project, minimum",PCT,,,,,,,5.00%
01-21-00-10-2240,"Allowances, professional fees, architectural, $500,000 project, average",               Average,"Architectural fee, $500,000 project, average",PCT,,,,,,,8.00%
01-21-00-10-2260,"Allowances, professional fees, architectural, $500,000 project, maximum",               Maximum,"Architectural fee, $500,000 project, maximum",PCT,,,,,,,12.00%
01-21-00-10-2280,"            $1,000,000 project","            $1,000,000 project",,,,,,,,,
01-21-00-10-2300,"Allowances, professional fees, architectural, $1,000,000 project, minimum",               Minimum,"Architectural fee, $1,000,000 project, minimum",PCT,,,,,,,3.50%
01-21-00-10-2320,"Allowances, professional fees, architectural, $1,000,000 project, average",               Average,"Architectural fee, $1,000,000 project, average",PCT,,,,,,,7.00%
01-21-00-10-2340,"Allowances, professional fees, architectural, $1,000,000 project, maximum",               Maximum,"Architectural fee, $1,000,000 project, maximum",PCT,,,,,,,10.00%
01-21-00-10-2360,         Structural engineering,         Structural engineering,,,,,,,,,
01-21-00-10-2380,"Allowances, professional fees, structural engineering, minimum",               Minimum,"Structural Engineering, min",PCT,,,,,,,2.00%
01-21-00-10-2400,"Allowances, professional fees, structural engineering, average",               Average,"Structural Engineering, avg",PCT,,,,,,,3.00%
01-21-00-10-2420,"Allowances, professional fees, structural engineering, maximum",               Maximum,"Structural Engineering, max",PCT,,,,,,,5.00%
01-21-00-10-2440,         Mechanical engineering,         Mechanical engineering,,,,,,,,,
01-21-00-10-2460,"Allowances, professional fees, mechanical engineering, minimum",               Minimum,"Mechanical Engineering, min",PCT,,,,,,,4.00%
01-21-00-10-2480,"Allowances, professional fees, mechanical engineering, average",               Average,"Mechanical Engineering, avg",PCT,,,,,,,5.00%
01-21-00-10-2500,"Allowances, professional fees, mechanical engineering, maximum",               Maximum,"Mechanical Engineering, max",PCT,,,,,,,15.00%
01-21-00-10-2520,         Electrical engineering,         Electrical engineering,,,,,,,,,
01-21-00-10-2540,"Allowances, professional fees, electrical engineering, minimum",               Minimum,"Electrical Engineering, min",PCT,,,,,,,3.00%
01-21-00-10-2560,"Allowances, professional fees, electrical engineering, average",               Average,"Electrical Engineering, avg",PCT,,,,,,,5.00%
01-21-00-10-2580,"Allowances, professional fees, electrical engineering, maximum",               Maximum,"Electrical Engineering, max",PCT,,,,,,,12.00%
01-21-00-10-4080,      Taxes,      Taxes,,,,,,,,,
01-21-00-10-5000,         Sales tax,         Sales tax,,,,,,,,,
01-21-00-10-5020,"Allowances, taxes, sales tax, minimum",               Minimum,"Sales tax, minimum",PCT,,,,,,,4.00%
01-21-00-10-5040,"Allowances, taxes, sales tax, average",               Average,"Sales tax, average",PCT,,,,,,,5.00%
01-21-00-10-5060,"Allowances, taxes, sales tax, maximum",               Maximum,"Sales tax, maximum",PCT,,,,,,,10.00%
01-21-00-10-5080,         Unemployment,         Unemployment,,,,,,,,,
01-21-00-10-5100,"Allowances, taxes, unemployment, minimum",               Minimum,"Taxes, unemployment, minimum",PCT,,,,,,,3.00%
01-21-00-10-5120,"Allowances, taxes, unemployment, average",               Average,"Taxes, unemployment, average",PCT,,,,,,,6.50%
01-21-00-10-5140,"Allowances, taxes, unemployment, maximum",               Maximum,"Taxes, unemployment, maximum",PCT,,,,,,,8.00%
01-21-00-10-5200,"Allowances, taxes, social security (FICA)",         Social security (FICA),Social security (FICA),PCT,,,,,,,7.85%
01-31,PROJECT MANAGEMENT AND COORDINATION,PROJECT MANAGEMENT AND COORDINATION,PROJECT MANAGEMENT AND COORDINATION,,,,,,,,
01-31-13,FIELD STAFF,FIELD STAFF,FIELD STAFF,,,,,,,,
01-31-13-00-1000,         Superintendent,         Superintendent,,,,,,,,,
01-31-13-00-1020,"Field staff, superintendent, minimum",               Minimum,"Field staff, superintendent, minimum",YEAR,,,,,,,"$97,185"
01-31-13-00-1040,"Field staff, superintendent, average",               Average,"Field staff, superintendent, average",YEAR,,,,,,,"$121,498"
01-31-13-00-1060,"Field staff, superintendent, maximum",               Maximum,"Field staff, superintendent, maximum",YEAR,,,,,,,"$145,944"
01-31-13-00-1080,         Field engineer,         Field engineer,,,,,,,,,
01-31-13-00-1100,"Field staff, field engineer, minimum",               Minimum,"Field staff, field engineer, minimum",YEAR,,,,,,,"$95,855"
01-31-13-00-1120,"Field staff, field engineer, average",               Average,"Field staff, field engineer, average",YEAR,,,,,,,"$110,020"
01-31-13-00-1140,"Field staff, field engineer, maximum",               Maximum,"Field staff, field engineer, maximum",YEAR,,,,,,,"$126,444"
01-31-13-00-1160,         Foreman,         Foreman,,,,,,,,,
01-31-13-00-1180,"Field staff, foreman, minimum",               Minimum,"Field staff, foreman, minimum",YEAR,,,,,,,"$64,596"
01-31-13-00-1200,"Field staff, foreman, average",               Average,"Field staff, foreman, average",YEAR,,,,,,,"$103,304"
01-31-13-00-1220,"Field staff, foreman, maximum",               Maximum,"Field staff, foreman, maximum",YEAR,,,,,,,"$120,949"
01-31-13-00-1240,         Bookkeeper/timekeeper,         Bookkeeper/timekeeper,,,,,,,,,
01-31-13-00-1260,"Field staff, bookkeeper and or timekeeper, minimum",               Minimum,"Field staff, bookkeeper/timekeeper, minimum",YEAR,,,,,,,"$37,365"
01-31-13-00-1280,"Field staff, bookkeeper and or timekeeper, average",               Average,"Field staff, bookkeeper/timekeeper, average",YEAR,,,,,,,"$48,794"
01-31-13-00-1300,"Field staff, bookkeeper and or timekeeper, maximum",               Maximum,"Field staff, bookkeeper/timekeeper, maximum",YEAR,,,,,,,"$63,130"
01-31-13-00-1320,         Watchman,         Watchman,,,,,,,,,
01-31-13-00-1340,"Field staff, watchman, minimum",               Minimum,"Field staff, watchman, minimum",YEAR,,,,,,,"$27,841"
01-31-13-00-1360,"Field staff, watchman, average",               Average,"Field staff, watchman, average",YEAR,,,,,,,"$37,243"
01-31-13-00-1380,"Field staff, watchman, maximum",               Maximum,"Field staff, watchman, maximum",YEAR,,,,,,,"$47,011"
01-32,CONSTRUCTION PROGRESS DOCUMENTATION,CONSTRUCTION PROGRESS DOCUMENTATION,CONSTRUCTION PROGRESS DOCUMENTATION,,,,,,,,
01-32-13,SCHEDULING,SCHEDULING,SCHEDULING,,,,,,,,
01-32-13-00-0090,      Scheduling for,      Scheduling for,,,,,,,,,
01-32-13-00-1000,"            $100,000 project","            $100,000 project",,,,,,,,,
01-32-13-00-1020,"Scheduling, scheduling for $100,000 project, minimum",               Minimum,"Scheduling for $100,000 project, minimum",PCT,,,,,,,1.00%
01-32-13-00-1040,"Scheduling, scheduling for $100,000 project, average",               Average,"Scheduling for $100,000 project, average",PCT,,,,,,,2.00%
01-32-13-00-1060,"Scheduling, scheduling for $100,000 project, maximum",               Maximum,"Scheduling for $100,000 project, maximum",PCT,,,,,,,6.00%
01-32-13-00-1080,"            $500,000 project","            $500,000 project",,,,,,,,,
01-32-13-00-1100,"Scheduling, scheduling for $500,000 project, minimum",               Minimum,"Scheduling for, $500,000 project, minimum",PCT,,,,,,,0.50%
01-32-13-00-1120,"Scheduling, scheduling for $500,000 project, average",               Average,"Scheduling for, $500,000 project, average",PCT,,,,,,,1.00%
01-32-13-00-1140,"Scheduling, scheduling for $500,000 project, maximum",               Maximum,"Scheduling for, $500,000 project, maximum",PCT,,,,,,,2.00%
01-32-13-00-1160,"            $1,000,000 project","            $1,000,000 project",,,,,,,,,
01-32-13-00-1180,"Scheduling, scheduling for $1,000,000 project, minimum",               Minimum,"Scheduling for, $1,000,000 project, minimum",PCT,,,,,,,0.50%
01-32-13-00-1200,"Scheduling, scheduling for $1,000,000 project, average",               Average,"Scheduling for, $1,000,000 project, average",PCT,,,,,,,0.75%
01-32-13-00-1220,"Scheduling, scheduling for $1,000,000 project, maximum",               Maximum,"Scheduling for, $1,000,000 project, maximum",PCT,,,,,,,1.50%
01-32-13-00-4000,         Scheduling software,         Scheduling software,,,,,,,,,
01-32-13-00-4020,"Scheduling, scheduling software, not including computer, minimum",               Minimum,"Scheduling software, not incl computer, minimum",EA,,,,,,,$792.00
01-32-13-00-4040,"Scheduling, scheduling software, not including computer, average",               Average,"Scheduling software, not incl computer, average",EA,,,,,,,"$4,505.60"
01-32-13-00-4060,"Scheduling, scheduling software, not including computer, maximum",               Maximum,"Scheduling software, not incl computer, maximum",EA,,,,,,,"$90,173.60"
01-32-23,SURVEYING,SURVEYING,SURVEYING,,,,,,,,
01-32-23-00-0080,      Surveying,      Surveying,,,,,,,,,
01-32-23-00-1000,"Surveying, surveying, small crew",               Small crew,"Surveying, small crew",DAY,,,,,,,"$1,372.80"
01-32-23-00-1020,"Surveying, surveying, average crew",               Average crew,"Surveying, average crew",DAY,,,,,,,"$2,059.20"
01-32-23-00-1040,"Surveying, surveying, large crew",               Large crew,"Surveying, large crew",DAY,,,,,,,"$2,710.40"
01-32-23-00-2000,         Lot lines and boundaries,         Lot lines and boundaries,,,,,,,,,
01-32-23-00-2020,"Surveying, lot lines and boundaries, minimum",               Minimum,"Lot lines and boundaries, minimum",ACRE,,,,,,,$985.60
01-32-23-00-2040,"Surveying, lot lines and boundaries, average",               Average,"Lot lines and boundaries, average",ACRE,,,,,,,"$2,024.00"
01-32-23-00-2060,"Surveying, lot lines and boundaries, maximum",               Maximum,"Lot lines and boundaries, maximum",ACRE,,,,,,,"$3,300.00"
01-32-33,JOB REQUIREMENTS,JOB REQUIREMENTS,JOB REQUIREMENTS,,,,,,,,
01-32-33-00-1000,"      Job photographs, small jobs","      Job photographs, small jobs",,,,,,,,,
01-32-33-00-1020,"Job requirements, job photographs, small jobs, minimum",               Minimum,"Job photographs, small jobs, minimum",EA,,,,,,,$193.60
01-32-33-00-1040,"Job requirements, job photographs, small jobs, average",               Average,"Job photographs, small jobs, average",EA,,,,,,,$299.20
01-32-33-00-1060,"Job requirements, job photographs, small jobs, maximum",               Maximum,"Job photographs, small jobs, maximum",EA,,,,,,,$686.40
01-32-33-00-1080,         Large projects,         Large projects,,,,,,,,,
01-32-33-00-1100,"Job requirements, job photographs, large projects, minimum",               Minimum,"Job photographs, large projects, minimum",EA,,,,,,,$985.60
01-32-33-00-1120,"Job requirements, job photographs, large projects, average",               Average,"Job photographs, large projects, average",EA,,,,,,,"$1,478.40"
01-32-33-00-1140,"Job requirements, job photographs, large projects, maximum",               Maximum,"Job photographs, large projects, maximum",EA,,,,,,,"$4,919.20"
01-45,QUALITY CONTROL,QUALITY CONTROL,QUALITY CONTROL,,,,,,,,
01-45-23,TESTING,TESTING,TESTING,,,,,,,,
01-45-23-00-1080,"      Testing concrete, per test","      Testing concrete, per test",,,,,,,,,
01-45-23-00-1100,"Testing, testing, concrete, per test, minimum",               Minimum,"Testing concrete, per test, minimum",EA,,,,,,,$33.22
01-45-23-00-1120,"Testing, testing, concrete, per test, average",               Average,"Testing concrete, per test, average",EA,,,,,,,$55.44
01-45-23-00-1140,"Testing, testing, concrete, per test, maximum",               Maximum,"Testing concrete, per test, maximum",EA,,,,,,,$114.40
01-45-23-00-1160,"         Soil, per test","         Soil, per test",,,,,,,,,
01-45-23-00-1180,"Testing, testing, soil, per test, minimum",               Minimum,"Soil testing, per test, minimum",EA,,,,,,,$67.76
01-45-23-00-1200,"Testing, testing, soil, per test, average",               Average,"Soil testing, per test, average",EA,,,,,,,$167.20
01-45-23-00-1220,"Testing, testing, soil, per test, maximum",               Maximum,"Soil testing, per test, maximum",EA,,,,,,,$457.60
01-45-23-00-1240,"         Welding, per test","         Welding, per test",,,,,,,,,
01-45-23-00-1260,"Testing, testing, soil, per test, minimum",               Minimum,"Testing, welding, per test, minimum",EA,,,,,,,$33.22
01-45-23-00-1280,"Testing, testing, soil, per test, average",               Average,"Testing, welding, per test, average",EA,,,,,,,$55.44
01-45-23-00-1300,"Testing, testing, soil, per test, maximum",               Maximum,"Testing, welding, per test, maximum",EA,,,,,,,$220.00
01-52,CONSTRUCTION FACILITIES,CONSTRUCTION FACILITIES,CONSTRUCTION FACILITIES,,,,,,,,
01-52-19,SANITARY FACILITIES,SANITARY FACILITIES,SANITARY FACILITIES,,,,,,,,
01-52-19-00-0010,      Porta Potty,      Porta Potty,,,,,,,,,
01-52-19-00-0100,"Sanitary facilities, porta potty, rental per day, minimum",            Rental per Day minimum,"Porta Potty, Rental per Day Min.",EA,,,,,,,$88.00
01-52-19-00-0120,"Sanitary facilities, porta potty, rental per day, maximum",            Rental per Day Maximum,"Porta Potty, Rental per Day Max.",EA,,,,,,,$228.80
01-52-19-00-0140,"Sanitary facilities, porta potty, rental per month, minimum",            Rental per Month minimum,"Porta Potty, Rental per Month Min.",EA,,,,,,,$264.00
01-52-19-00-0160,"Sanitary facilities, porta potty, rental per month, maximum",            Rental per Month Maximum,"Porta Potty, Rental per Month Max.",EA,,,,,,,$448.80
01-52-19-00-0180,"         Specialized, ADA","         Specialized, ADA",,,,,,,,,
01-52-19-00-0200,"Sanitary facilities, specialized, ADA, rental per day, minimum",            Rental per Day minimum,"ADA Porta Potty, Rental per Day Min.",EA,,,,,,,$149.60
01-52-19-00-0220,"Sanitary facilities, specialized, ADA, rental per day, maximum",            Rental per Day Max,"ADA Porta Potty, Rental per Day Max.",EA,,,,,,,$228.80
01-52-19-00-0240,"Sanitary facilities, specialized, ADA, rental per month, minimum","            Rental per Month, minimum","ADA Porta Potty, Rental per Month Min.",EA,,,,,,,$448.80
01-52-19-00-0260,"Sanitary facilities, specialized, ADA, rental per month, maximum","            Rental per Month, Maximum","ADA Porta Potty, Rental per Month Max.",EA,,,,,,,$756.80
01-52-19-00-0280,"Sanitary facilities, porta potty, purchase price, minimum","         Purchase price, minimum","Porta Potty, Purchase, Min.",EA,,,,,,,"$1,056.00"
01-52-19-00-5000,"Sanitary facilities, for each additional servicing per unit per week",         For each additional servicing per unit per week,"Porta Potty, additional servicing",EA,,,,,,,$51.04
01-52-19-00-5200,"Sanitary facilities, porta potty, for each delivery, add",         For each delivery,"Porta Potty, delivery",EA,,,,,,,$68.64
01-54,CONSTRUCTION AIDS,CONSTRUCTION AIDS,CONSTRUCTION AIDS,,,,,,,,
01-54-00-10-0000,SCAFFOLDING AND ACCESSORIES,SCAFFOLDING AND ACCESSORIES,SCAFFOLDING AND ACCESSORIES,,,,,,,,
01-54-00-10-1000,"      Scaffolding/staging, rent per month","      Scaffolding/staging, rent per month",,,,,,,,,
01-54-00-10-1020,         Measured by lineal feet of base,         Measured by lineal feet of base,,,,,,,,,
01-54-00-10-1040,"Scaffolding and accessories, scaffolding and/or staging, rent per month, measured by lineal feet of base, 10' high",               10' high,"Staging, rent, per month, LF of base, 10'high",LF,,,,,,,$18.92
01-54-00-10-1060,"Scaffolding and accessories, scaffolding and/or staging, rent per month, measured by lineal feet of base, 20' high",               20' high,"Staging, rent, per month, LF of base, 20'high",LF,,,,,,,$34.10
01-54-00-10-1080,"Scaffolding and accessories, scaffolding and/or staging, rent per month, measured by lineal feet of base, 30' high",               30' high,"Staging/scaffolding, rent per month, lf base, 30'h",LF,,,,,,,$47.52
01-54-00-10-1100,"Scaffolding and accessories, scaffolding and/or staging, rent per month, measured by lineal feet of base, 40' high",               40' high,"Staging/scaffolding, rent per month, lf base, 40'h",LF,,,,,,,$55.44
01-54-00-10-1120,"Scaffolding and accessories, scaffolding and/or staging, rent per month, measured by lineal feet of base, 50' high",               50' high,"Staging/scaffolding, rent per month, lf base, 50'h",LF,,,,,,,$65.12
01-54-00-10-1140,         Measured by square foot of surface,         Measured by square foot of surface,,,,,,,,,
01-54-00-10-1160,"Scaffolding and accessories, scaffolding and/or staging, rent per month, measured by square foot surface, minimum",               Minimum,"Staging/scaffolding, measured by SF surface, min",SF,,,,,,,$0.84
01-54-00-10-1180,"Scaffolding and accessories, scaffolding and/or staging, rent per month, measured by square foot surface, average",               Average,"Staging/scaffolding, measured by SF surface, ave",SF,,,,,,,$1.43
01-54-00-10-1200,"Scaffolding and accessories, scaffolding and/or staging, rent per month, measured by square foot surface, maximum",               Maximum,"Staging/scaffolding, measured by SF surface, max",SF,,,,,,,$2.57
01-54-00-10-1220,"      Safety nets, heavy duty, per job","      Safety nets, heavy duty, per job",,,,,,,,,
01-54-00-10-1240,"Scaffolding and accessories, safety nets, heavy duty, per job, minimum",               Minimum,"Safety nets, heavy duty, per job, minimum",SF,,,,,,,$0.55
01-54-00-10-1260,"Scaffolding and accessories, safety nets, heavy duty, per job, average",               Average,"Safety nets, heavy duty, per job, average",SF,,,,,,,$0.67
01-54-00-10-1280,"Scaffolding and accessories, safety nets, heavy duty, per job, maximum",               Maximum,"Safety nets, heavy duty, per job, maximum",SF,,,,,,,$1.47
01-54-00-10-1300,"      Tarpaulins, fabric, per job","      Tarpaulins, fabric, per job",,,,,,,,,
01-54-00-10-1320,"Scaffolding and accessories, tarpaulins, fabric, per job, minimum",               Minimum,"Tarpaulins, fabric, per job, minimum",SF,,,,,,,$0.39
01-54-00-10-1340,"Scaffolding and accessories, tarpaulins, fabric, per job, average",               Average,"Tarpaulins, fabric, per job, average",SF,,,,,,,$0.66
01-54-00-10-1360,"Scaffolding and accessories, tarpaulins, fabric, per job, maximum",               Maximum,"Tarpaulins, fabric, per job, maximum",SF,,,,,,,$1.71
01-54-00-10-6000,      Rolling scaffold,      Rolling scaffold,,,,,,,,,
01-54-00-10-6050,         To 10',         To 10',,,,,,,,,
01-54-00-10-6052,"Scaffolding and accessories, rolling scaffold, to 10', by day",               By day,"Rolling scaffold, to 10', by day",EA,,,,,,,$66.00
01-54-00-10-6054,"Scaffolding and accessories, rolling scaffold, to 10', by week",               By week,"Rolling scaffold, to 10', by week",EA,,,,,,,$132.00
01-54-00-10-6056,"Scaffolding and accessories, rolling scaffold, to 10', by month",               By month,"Rolling scaffold, to 10', by month",EA,,,,,,,$325.60
01-54-00-10-6100,         To 15',         To 15',,,,,,,,,
01-54-00-10-6110,"Rolling scaffold, to 15', by day",               By day,"Rolling scaffold, to 18', by day",EA,,,,,,,$79.20
01-54-00-10-6112,"Rolling scaffold, to 15', by week",               By week,"Rolling scaffold, to 18', by week",EA,,,,,,,$158.40
01-54-00-10-6114,"Rolling scaffold, to 15', by month",               By month,"Rolling scaffold, to 18', by month",EA,,,,,,,$352.00
01-54-00-10-6200,         To 20',         To 20',,,,,,,,,
01-54-00-10-6210,"Rolling scaffold, to 20', by day",               By day,"Rolling scaffold, to 20', by day",EA,,,,,,,$88.00
01-54-00-10-6212,"Rolling scaffold, to 20', by week",               By week,"Rolling scaffold, to 20', by week",EA,,,,,,,$184.80
01-54-00-10-6214,"Rolling scaffold, to 20', by month",               By month,"Rolling scaffold, to 20', by month",EA,,,,,,,$396.00
01-54-80,MOBILIZATION,MOBILIZATION,MOBILIZATION,,,,,,,,
01-54-00-80-1000,      Equipment mobilization,      Equipment mobilization,,,,,,,,,
01-54-00-80-1020,         Bulldozer,         Bulldozer,,,,,,,,,
01-54-00-80-1040,"Mobilization, equipment mobilization, bulldozer, minimum",               Minimum,"Mobilization, equipment, bulldozer, minimum",EA,,,,,,,$308.00
01-54-00-80-1060,"Mobilization, equipment mobilization, bulldozer, average",               Average,"Mobilization, equipment, bulldozer, average",EA,,,,,,,$651.20
01-54-00-80-1080,"Mobilization, equipment mobilization, bulldozer, maximum",               Maximum,"Mobilization, equipment, bulldozer, maximum",EA,,,,,,,"$1,082.40"
01-54-00-80-1100,         Backhoe/front-end loader,         Backhoe/front-end loader,,,,,,,,,
01-54-00-80-1120,"Mobilization, equipment mobilization, backhoe or front-end loader, minimum",               Minimum,"Mobilization, equip, backhoe/front-end loader, min",EA,,,,,,,$184.80
01-54-00-80-1140,"Mobilization, equipment mobilization, backhoe or front-end loader, average",               Average,"Mobilization, equip, backhoe/front-end loader, ave",EA,,,,,,,$325.60
01-54-00-80-1160,"Mobilization, equipment mobilization, backhoe or front-end loader, maximum",               Maximum,"Mobilization, equip, backhoe/front-end loader, max",EA,,,,,,,$704.00
01-54-00-80-1180,"         Crane, crawler type","         Crane, crawler type",,,,,,,,,
01-54-00-80-1200,"Mobilization, equipment mobilization, crane, crawler type, minimum",               Minimum,"Mobilization, equip, crane, crawler type, minimum",EA,,,,,,,"$3,405.60"
01-54-00-80-1220,"Mobilization, equipment mobilization, crane, crawler type, average",               Average,"Mobilization, equip, crane, crawler type, average",EA,,,,,,,"$8,360.00"
01-54-00-80-1240,"Mobilization, equipment mobilization, crane, crawler type, maximum",               Maximum,"Mobilization, equip, crane, crawler type, maximum",EA,,,,,,,"$17,960.80"
01-54-00-80-1260,            Truck crane,            Truck crane,,,,,,,,,
01-54-00-80-1280,"Mobilization, equipment mobilization, crane, truck crane, minimum",               Minimum,"Mobilization, equip, truck crane, minimum",EA,,,,,,,$774.40
01-54-00-80-1300,"Mobilization, equipment mobilization, crane, truck crane, average",               Average,"Mobilization, equip, truck crane, average",EA,,,,,,,"$1,205.60"
01-54-00-80-1320,"Mobilization, equipment mobilization, crane, truck crane, maximum",               Maximum,"Mobilization, equip, truck crane, maximum",EA,,,,,,,"$2,076.80"
01-54-00-80-1340,         Pile driving rig,         Pile driving rig,,,,,,,,,
01-54-00-80-1360,"Mobilization, equipment mobilization, pile driving rig, minimum",               Minimum,"Mobilization, equip, pile driving rig, minimum",EA,,,,,,,"$15,479.20"
01-54-00-80-1380,"Mobilization, equipment mobilization, pile driving rig, average",               Average,"Mobilization, equip, pile driving rig, average",EA,,,,,,,"$30,967.20"
01-54-00-80-1400,"Mobilization, equipment mobilization, pile driving rig, maximum",               Maximum,"Mobilization, equip, pile driving rig, maximum",EA,,,,,,,"$55,748.00"
01-54-90,EQUIPMENT,EQUIPMENT,EQUIPMENT,,,,,,,,
01-54-00-90-0080,      Air compressor,      Air compressor,,,,,,,,,
01-54-00-90-1000,         60 cfm,         60 cfm,,,,,,,,,
01-54-00-90-1020,"Equipment, air compressor, 60 CFM, rent, by day",               By day,"Air compressor, 60 cfm, rent, by day",EA,,,,,,,$132.00
01-54-00-90-1030,"Equipment, air compressor, 60 CFM, rent, by week",               By week,"Air compressor, 60 cfm, rent, by week",EA,,,,,,,$396.00
